Viktor Alekseyevich Krovopuskov,4,87
Galina Alekseyevna Kulakova,4,87
Gyz Kulcsr,4,87
Kevin Kuske,4,87
Andr Lange,4,87
Eric Otto Valdemar Lemming,4,87
"Lisbeth Constance ""Libby"" Lenton-Trickett",4,87
Lisa Deshawn Leslie (-Lockwood),4,87
Jason Edward Lezak,4,87
Li Xiaopeng,4,87
Einar Liberg,4,87
"James Davies ""Jim"" Lightbody",4,87
"Gregory Efthimios ""Greg"" Louganis",4,87
Roland Matthes,4,87
"Patricia Joan ""Pat"" McCormick (Keller-)",4,87
"Georg ""Georges"" Miez",4,87
Valentin Ivanovich Muratov,4,87
John Phillips Naber,4,87
Aleksey Yuryevich Nemov,4,87
Yelena Dmitriyevna Novikova-Belova,4,87
Matti Ensio Nyknen (-Paanala),4,87
"Alfred Adolph ""Al"" Oerter, Jr.",4,87
Jon C. Olsen,4,87
Otto Martin Olsen,4,87
Caroline Ouellette,4,87
"James Cleveland ""Jesse"" Owens",4,87
Charles Ferdinand Pahud de Mortanges,4,87
Ivan Patzaichin,4,87
Carlo Pavesi,4,87
Matthew Clive Pinsent,4,87
Stanislav Alekseyevich Pozdnyakov,4,87
Meyer Prinstein,4,87
Oreste Puliti,4,87
"Paolo Francesco ""Paul""  Radmilovic",4,87
Sanya Richards-Ross,4,87
Iain Murray Rose,4,87
Henri Julius Reverony Saint Cyr,4,87
Vladimir Valeryevich Salnikov,4,87
Allison Rodgers Schmitt,4,87
Carl Schuhmann,4,87
"Melvin Winfield ""Mel"" Sheppard",4,87
Viktor Aleksandrovich Sidyak,4,87
Raisa Petrovna Smetanina,4,87
Lloyd Spencer Spooner,4,87
Konrad Stheli,4,87
Viorica Susanu,4,87
Gunde Anders Svan,4,87
Emil Hegle Svendsen,4,87
Ecaterina (Katalin-) Szabo (-Tamas),4,87
Diana Lurena Taurasi,4,87
Henry Taylor,4,87
Aleksandr Ivanovich Tikhonov,4,87
"Dara Grace Torres (-Hoffman, -Minas)",4,87
Giovanna Trillini,4,87
Laura Rebecca Trott (-Kenny),4,87
Lyudmila Ivanovna Turishcheva (-Borzova),4,87
Nicole Uphoff-Becker (-Selke),4,87
Lasse Artturi Virn,4,87
Katrin Wagner-Augustin,4,87
Wang Meng,4,87
Wang Nan,4,87
Thomas Lars Wassberg,4,87
Hayley Marie Wickenheiser,4,87
Serena Jamika Williams,4,87
Venus Ebony Starr Williams,4,87
"Irene Karlijn ""Ireen"" Wst",4,87
Yang Wei,4,87
Anastasiya Nikolayevna Yermakova,4,87
Giorgio Zampori,4,87
Emil Ztopek,4,87
Zhang Yining,4,87
"Leontine Martha Henrica Petronella ""Leontien"" Zijl",4,87
Felix Loch,3,218
"Eleanor ""Elle"" Logan",3,218
Mijan Lpez Nez,3,218
Alejandrina Mireya Luis Hernndez,3,218
Ma Lin,3,218
Ma Long,3,218
Christopher Paul MacDonald,3,218
Helene Emma Madison,3,218
Tianna Madison-Bartoletta,3,218
Luigi Maiocco,3,218
Valentyn Hryhorovych Mankin,3,218
Eero Antero Mntyranta,3,218
"Angelina L. ""Angel"" Martino (Myers-, -Sims)",3,218
Paul Michel Pierre Adrien Masson (-Nossam),3,218
"Hendrika Wilhelmina ""Rie"" Mastenbroek (-Kuiper, -d",3,218
Misty Erie May-Treanor,3,218
Marnie Elizabeth McBean,3,218
"James Price ""Jimmy"" McLane, Jr.",3,218
Richard John Hannay Meade,3,218
Mary Terstegge Meagher (-Plant),3,218
Aleksandr Vasilyevich Medved,3,218
LaShawn Merritt,3,218
Caren Metschuck (-Mahn),3,218
"Deborah Elizabeth ""Debbie"" Meyer (-Weber)",3,218
Heather Blaine Mitts (-Feeley),3,218
Tams Molnr,3,218
"James Paul ""Jim"" Montgomery",3,218
"Pedro Pablo Morales, Jr.",3,218
Daniel Yves Morelon,3,218
Thomas Morgenstern,3,218
Volodymyr Ivanovych Morozov,3,218
Bobby Joe Morrow,3,218
Ryan Murphy,3,218
Halil Mutlu,3,218
Aldo Nadi,3,218
Harald Natvig,3,218
Vladimir Aliverovich Nazlymov,3,218
Meinhard Nehmer,3,218
"Sandra Lynn ""Sandy"" Neilson (-Bell)",3,218
Romeo Neri,3,218
Gunda Niemann-Stirnemann-Kleemann,3,218
Tadahiro Nomura,3,218
"Martha (Mrta) Maria Norelius (-McAllister, -Wright",3,218
Lars Daniel Norling,3,218
Anke Nothnagel-von Seck,3,218
Leah Marie O'Brien-Amico,3,218
Heather Ann OReilly (-Werry),3,218
Lszl Papp,3,218
Vladimir Vladimirovich Parfenovich,3,218
Park Seong-Hyeon,3,218
Christie Patricia Pearce-Rampone,3,218
Marie-Jos Juliana Prec (Hontas-),3,218
Tatyana Dmitriyevna Petrenko-Samusenko,3,218
Paul Henry Pilgrim,3,218
Cherie Piper,3,218
Constana Pipot-Burcic,3,218
Andrea Pollack (-Pinske),3,218
Ctlina Ponor,3,218
Ramona Portwich,3,218
Tamara Natanovna Press,3,218
Aleksandr Pavlovich Ragulin,3,218
"Alexandra Rose ""Aly"" Raisman",3,218
Lszl Rajcsnyi,3,218
"Peter ""Pete"" Reed",3,218
"Rica Reinisch (-Assmann, -Neumann)",3,218
Anfisa Anatolyevna Reztsova (Romanova-),3,218
"Kimberly Susan ""Kim"" Rhode (-Harryman)",3,218
Franco Riccardi,3,218
"Stephanie Louise ""Steph"" Rice",3,218
Ulrike Richter (-Schmidt),3,218
"Irina Konstantinovna Rodnina (-Zaytseva, -Minkovsk",3,218
Ralph Waldo Rose,3,218
Norman DeMille Ross,3,218
Antonio Rossi,3,218
"Jeffrey Norman ""Jeff"" Rouse",3,218
Florian Georges Philippe Rousseau,3,218
"Wilma Glodean Rudolph (-Ward, -Eldridge)",3,218
"Matthew Morgan ""Matt"" Ryan",3,218
Martina Sblkov,3,218
Yevgeny Viktorovich Sadovy,3,218
"Anton Engelbert ""Toni"" Sailer",3,218
Viktor Saneyev,3,218
Flix Savn Fabr,3,218
Buvaysar Khamidovich Saytiyev,3,218
"Adrie ""Ard"" Schenk",3,218
"Verena ""Vreni"" Schneider",3,218
Ollie Martin Schriver,3,218
Jochen Schmann,3,218
Ralf Schumann,3,218
Karl Alfred Markus Schwarzmann,3,218
Katja Seizinger (-Weber),3,218
Viorica Daniela Siliva (-Harper),3,218
Udham Singh Kular,3,218
Randhir Singh Gentle,3,218
"Balbir Singh Dosanjh, Sr.",3,218
Charles Sydney Smith,3,218
"Katherine May ""Katie"" Smith",3,218
Michelle Marie Smith (-De Bruin),3,218
Peter George Snell,3,218
Rebecca Soni,3,218
Colleen Sostorics,3,218
Kim St-Pierre,3,218
Dawn Michelle Staley,3,218
Renate Stecher (Meiner-),3,218
"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",3,218
Tefilo Stevenson Laurence,3,218
Botond Storcz,3,218
Sharon Marie Stouder (-Clark),3,218
Shirley Barbara Strickland de la Hunty,3,218
Leon tukelj,3,218
Naim Sleymanolu,3,218
Sun Yang,3,218
"Alfred Gomer Albert ""Alf"" Swahn",3,218
Oscar Gomer Swahn,3,218
Sheryl Denice Swoopes,3,218
Gabriella Timea Szab,3,218
Zoltn Szcsi,3,218
Irena Szewiska-Kirszenstein,3,218
Ashley Tara Tappin (-Doussan),3,218
